"","geo","year","value","curr"
"640","gr",2005,0.865811,"EUR"
"641","es",2005,0.939734,"EUR"
"642","fi",2005,1.19609,"EUR"
"643","fr",2005,1.11919,"EUR"
"644","hr",2005,0.663485,"EUR"
"645","hu",2005,159.893,"HUF"
"646","ie",2005,1.23551,"EUR"
"647","is",2005,117.042,"ISK"
"648","it",2005,1.04431,"EUR"
"649","jp",2005,158.211,"JPY"
"650","lt",2005,0.531425,"EUR"
"651","lu",2005,1.15571,"EUR"
"652","lv",2005,0.535615,"EUR"
"653","mk",2005,23.5615,"MKD"
"654","mt",2005,0.699425,"EUR"
"655","nl",2005,1.0956,"EUR"
"656","no",2005,10.9973,"NOK"
"657","pl",2005,2.28073,"PLN"
"658","pt",2005,0.811202,"EUR"
"659","ro",2005,1.71126,"RON"
"660","rs",2005,33.0128,"RSD"
"661","se",2005,11.5761,"SEK"
"662","si",2005,0.745105,"EUR"
"663","sk",2005,0.689637,"EUR"
"664","tr",2005,1.01921,"TRY"
"665","gb",2005,0.864154,"GBP"
"666","us",2005,1.22121,"USD"
"667","al",2004,54.9581,"ALL"
"668","at",2004,1.07481,"EUR"
"669","be",2004,1.08735,"EUR"
"670","bg",2004,0.71025,"BGN"
"671","ch",2004,2.07085,"CHF"
"672","cy",2004,0.898009,"EUR"
"673","cz",2004,17.6583,"CZK"
"674","de",2004,1.07112,"EUR"
"675","dk",2004,10.3552,"DKK"
"676","ee",2004,0.604251,"EUR"
"677","gr",2004,0.850118,"EUR"
"678","es",2004,0.937493,"EUR"
"679","fi",2004,1.19126,"EUR"
"680","fr",2004,1.14464,"EUR"
"681","hr",2004,0.651149,"EUR"
"682","hu",2004,157.146,"HUF"
"683","ie",2004,1.21322,"EUR"
"684","is",2004,114.188,"ISK"
"685","it",2004,1.04272,"EUR"
"686","jp",2004,164.515,"JPY"
"687","lt",2004,0.506803,"EUR"
"688","lu",2004,1.16433,"EUR"
"689","lv",2004,0.488804,"EUR"
"690","mk",2004,23.5773,"MKD"
"691","mt",2004,0.693125,"EUR"
"692","nl",2004,1.11118,"EUR"
"693","no",2004,11.1702,"NOK"
"694","pl",2004,2.24006,"PLN"
"695","pt",2004,0.827637,"EUR"
"696","ro",2004,1.55301,"RON"
"697","rs",2004,29.4921,"RSD"
"698","se",2004,11.3767,"SEK"
"699","si",2004,0.744012,"EUR"
"700","sk",2004,0.690961,"EUR"
"701","tr",2004,0.969658,"TRY"
"702","gb",2004,0.841949,"GBP"
"703","us",2004,1.22406,"USD"
"704","al",2003,54.319,"ALL"
"705","at",2003,1.08188,"EUR"
"706","be",2003,1.0672,"EUR"
"707","bg",2003,0.681929,"BGN"
"708","ch",2003,2.08935,"CHF"
"709","cy",2003,0.897169,"EUR"
"710","cz",2003,17.2679,"CZK"
"711","de",2003,1.09135,"EUR"
"712","dk",2003,10.534,"DKK"
