"","geo","year","values"
"908","gr",1998,68.48
"909","es",1998,67.14
"910","fi",1998,73.93
"911","fr",1998,76.65
"912","hr",1998,64.2
"913","hu",1998,43.38
"914","ie",1998,71.9
"915","is",1998,44.91
"916","it",1998,71.2
"917","lt",1998,66.8
"918","lu",1998,67.15
"919","lv",1998,53.17
"920","mt",1998,69.8
"921","nl",1998,71.25
"922","no",1998,73.2
"923","pl",1998,59.7
"924","pt",1998,69.91
"925","ro",1998,13.13
"926","se",1998,78.52
"927","si",1998,53.83
"928","sk",1998,49.74
"929","tr",1998,5.05
"930","gb",1998,71.3
"931","at",1997,72.56
"932","be",1997,71.6
"933","bg",1997,41.17
"934","cy",1997,68.64
"935","cz",1997,62.7
"936","de",1997,76.9
"937","dk",1997,73.3
"938","ee",1997,50.15
"939","gr",1997,65.3
"940","es",1997,65.84
"941","fi",1997,72.78
"942","fr",1997,75.85
"943","hu",1997,37.95
"944","ie",1997,70.1
"945","is",1997,43.96
"946","it",1997,69.8
"947","lt",1997,63.02
"948","lu",1997,66.36
"949","lv",1997,50.59
"950","mt",1997,67.15
"951","nl",1997,69.73
"952","no",1997,72
"953","pl",1997,53.3
"954","pt",1997,68.1
"955","ro",1997,8.47
"956","se",1997,77.48
"957","si",1997,49.75
"958","sk",1997,46.29
"959","tr",1997,2.7
"960","gb",1997,70.2
"961","at",1996,71.84
"962","be",1996,70.47
"963","cy",1996,66.85
"964","cz",1996,58.9
"965","de",1996,75.8
"966","dk",1996,71.6
"967","ee",1996,46.23
"968","gr",1996,61.86
"969","es",1996,64.93
"970","fi",1996,71.99
"971","fr",1996,75.11
"972","hu",1996,31.91
"973","ie",1996,69.1
"974","is",1996,43.27
"975","it",1996,68.7
"976","lt",1996,57.86
"977","lu",1996,65.57
"978","lv",1996,47.06
"979","mt",1996,64.7
"980","nl",1996,68.7
"981","no",1996,70
"982","pl",1996,46.2
"983","pt",1996,67.03
"984","ro",1996,3.05
"985","se",1996,76.28
"986","si",1996,46.13
"987","sk",1996,43.63
"988","tr",1996,1.53
"989","gb",1996,69
